City,Lat,Lng,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed
balila,32.38,35.93,JO,3/3/2019,44.6,81,36,4.63
vieux-habitants,16.06,-61.77,GP,3/3/2019,77,73,0,8.05
ereymentau,51.62,73.1,KZ,3/3/2019,30.91,90,56,9.78
zacatlan,19.93,-97.97,MX,3/3/2019,74.11,26,0,2.84
dingle,11,122.67,PH,3/3/2019,77.62,84,56,8.1
alyangula,-13.85,136.42,AU,3/3/2019,84.2,83,12,7.99
brandon,43.59,-96.57,US,3/3/2019,-2.01,64,1,19.46
tieli,46.98,128.05,CN,3/3/2019,26.95,57,0,2.62
ranfurly,53.41,-111.68,CA,3/3/2019,-2.13,78,0,11.23
yelan,50.95,43.74,RU,3/3/2019,25,84,88,5.01
baghmara,23.8,86.21,IN,3/3/2019,63.26,95,56,0.72
zhucheng,30.85,114.8,CN,3/3/2019,42.8,87,0,8.95
waipawa,-39.94,176.59,NZ,3/3/2019,75,51,0,7
hengshan,23.54,112.37,CN,3/3/2019,60.79,99,92,3.51
orangeburg,33.49,-80.86,US,3/3/2019,66.99,93,90,13.87
kyabe,9.45,18.94,TD,3/3/2019,77.21,28,24,9.22
dubbo,-32.25,148.6,AU,3/3/2019,80.6,39,0,17.22
yatou,3.63,9.81,CM,3/3/2019,78.8,100,75,2.24
dauriya,49.93,116.85,RU,3/3/2019,18.08,69,56,5.41
priiskovyy,51.93,116.63,RU,3/3/2019,17.32,68,36,5.41
olden,61.84,6.81,NO,3/3/2019,37.99,92,0,14.99
crixas,-14.55,-49.97,BR,3/3/2019,73.57,90,68,3.18
balotra,25.83,72.24,IN,3/3/2019,56.02,93,0,8.77
gandajika,-6.75,23.95,CD,3/3/2019,71.45,97,68,3.4
dickinson,46.88,-102.79,US,3/3/2019,-1,64,20,27.51
dikson,73.51,80.55,RU,3/3/2019,-5.14,95,36,24.32
thai binh,20.45,106.33,VN,3/3/2019,73.4,78,75,4.7
blackfoot,43.19,-112.35,US,3/3/2019,33.8,55,20,6.93
del rio,29.36,-100.9,US,3/3/2019,53.6,71,90,13.87
karatau,43.18,70.46,KZ,3/3/2019,34,51,36,3
baoro,5.69,15.95,CF,3/3/2019,67.58,98,80,3.18
ambalavao,-21.83,46.94,MG,3/3/2019,63.94,99,88,2.39
palora,-1.7,-77.97,EC,3/3/2019,77,73,40,2.24
markova,52.21,104.21,RU,3/3/2019,21,92,0,2.17
erenhot,43.65,111.97,CN,3/3/2019,13.58,62,20,2.17
hoopstad,-27.83,25.91,ZA,3/3/2019,63.53,84,0,3.18
dabhol,17.6,73.17,IN,3/3/2019,68.66,100,0,7.31
moroto,2.53,34.66,UG,3/3/2019,58.63,88,8,2.39
artesia,32.84,-104.4,US,3/3/2019,33.8,52,90,14.99
solvychegodsk,61.33,46.92,RU,3/3/2019,-7.39,74,0,3.51
safonovo,55.11,33.24,RU,3/3/2019,29.47,95,92,9.78
saint john,45.28,-66.06,CA,3/3/2019,28.4,68,40,8.05
tocache,-8.19,-76.51,PE,3/3/2019,62,93,44,0.72
kalaiya,27.03,85,NP,3/3/2019,50.17,87,8,3.06
wahpeton,46.27,-96.61,US,3/3/2019,-1,70,40,13.87
elk city,35.41,-99.4,US,3/3/2019,26.6,57,40,23.04
vermillion,42.78,-96.93,US,3/3/2019,1.4,49,1,16.11
santa catarina de tepehuanes,25.34,-105.72,MX,3/3/2019,75.64,14,0,9.22
lebanon,43.64,-72.25,US,3/3/2019,34,50,90,3.36
palimbang,14.9,120.78,PH,3/3/2019,79,88,75,4.7
papara,-3.98,-38.73,BR,3/3/2019,81,78,20,3.36
enkoping,59.64,17.08,SE,3/3/2019,30.99,92,88,6.93
dalvik,57.79,14.13,SE,3/3/2019,37.99,93,92,4.7
palmas bellas,9.23,-80.09,PA,3/3/2019,84.2,62,20,8.05
lena,32.59,-89.61,US,3/3/2019,44.6,93,90,10.29
posse,-14.08,-46.36,BR,3/3/2019,70.69,87,76,3.62
jaguarari,-10.26,-40.2,BR,3/3/2019,72.71,83,76,6.76
marawi,8,124.29,PH,3/3/2019,75.99,83,0,5.01
san fernando,10.28,-61.46,TT,3/3/2019,75.2,88,75,10.29
gistrup,56.99,9.99,DK,3/3/2019,41,95,92,10.67
freetown,26.61,-78.36,BS,3/3/2019,77,83,40,10.29
vangaindrano,-23.35,47.6,MG,3/3/2019,73.21,90,80,2.17
zvenigovo,55.97,48.02,RU,3/3/2019,19.4,92,75,8.95
suslovo,56.22,88.12,RU,3/3/2019,30.91,87,88,9.22
schruns,47.08,9.92,AT,3/3/2019,48,75,20,1.12
gangelt,50.99,6,NL,3/3/2019,55.99,71,90,25.28
agnibilekrou,7.13,-3.2,CI,3/3/2019,73.75,64,0,2.17
southbridge,42.08,-72.03,US,3/3/2019,37.4,59,90,10.29
seguela,7.96,-6.67,CI,3/3/2019,75.46,36,8,6.76
anuradhapura,8.34,80.41,LK,3/3/2019,68.71,91,0,3.4
mwandiga,-4.84,29.66,TZ,3/3/2019,72.67,100,80,3.85
sangmelima,2.93,11.98,CM,3/3/2019,71.05,94,24,2.95
aurillac,44.93,2.44,FR,3/3/2019,55.99,60,0,9.17
gorodishche,53.27,45.7,RU,3/3/2019,26.01,93,80,11.01
taree,-31.91,152.46,AU,3/3/2019,80.01,54,12,11.41
amazar,53.86,120.88,RU,3/3/2019,17.77,79,80,2.73
kluczbork,50.97,18.21,PL,3/3/2019,46.66,74,80,12.8
nevers,46.99,3.16,FR,3/3/2019,57.2,47,0,12.75
cheremkhovo,53.15,103.07,RU,3/3/2019,8,56,32,2.95
koeru,58.97,26.03,EE,3/3/2019,25,80,92,5.01
krasnovka,48.37,40.26,RU,3/3/2019,23.26,79,44,13.02
williamsport,41.25,-77,US,3/3/2019,30.99,92,90,2.51
jiwani,25.05,61.74,PK,3/3/2019,60.07,94,0,5.53
rudnogorsk,57.27,103.75,RU,3/3/2019,1.12,59,0,2.51
salalah,17.01,54.1,OM,3/3/2019,75.2,64,20,5.82
praxedis guerrero,31.37,-106.02,MX,3/3/2019,75.99,19,1,16.11
darbhanga,26.16,85.9,IN,3/3/2019,53.14,91,20,4.74
castlemaine,52.17,-9.7,IE,3/3/2019,37.57,98,12,4.63
fram,46.45,15.64,SI,3/3/2019,46.4,74,24,2.24
singaraja,-8.11,115.08,ID,3/3/2019,75.64,100,24,1.39
thanh hoa,10.21,106.33,VN,3/3/2019,71.6,94,20,4.7
tikrit,34.62,43.68,IQ,3/3/2019,48.1,71,88,6.64
riga,56.95,24.11,LV,3/3/2019,39.2,93,75,9.17
san alberto,-24.98,-54.91,PY,3/3/2019,80.6,51,0,4.7
keta,5.92,0.99,GH,3/3/2019,84.2,83,20,9.17
mtwara,-10.28,40.18,TZ,3/3/2019,80.59,100,68,3.96
maraa,-1.83,-65.37,BR,3/3/2019,79.96,85,0,4.18
bailieborough,53.92,-6.97,IE,3/3/2019,37.99,87,80,3
thunder bay,48.41,-89.26,CA,3/3/2019,3.2,41,20,12.75
lapy,52.99,22.88,PL,3/3/2019,46,95,92,17.83
sarakhs,36.54,61.16,TM,3/3/2019,48.2,66,12,4.7
pawai,24.27,80.17,IN,3/3/2019,53.9,85,20,3.4
jatai,28.97,76.18,IN,3/3/2019,56.02,90,24,3.4
chapleau,47.85,-83.4,CA,3/3/2019,5,65,75,9.17
kirkland lake,48.15,-80.03,CA,3/3/2019,10.4,55,40,8.05
sulangan,11.14,123.72,PH,3/3/2019,80.32,99,8,12.46
warwick,41.7,-71.42,US,3/3/2019,37.4,74,90,8.05
innisfail,52.02,-113.95,CA,3/3/2019,8.01,42,20,4.7
darnah,32.77,22.64,LY,3/3/2019,60.61,99,80,8.88
lulea,65.58,22.15,SE,3/3/2019,-0.41,84,0,3.18
yangmei,24.91,121.15,TW,3/3/2019,63,93,75,9.17
ivankiv,50.93,29.9,UA,3/3/2019,37.99,55,92,13.42
minab,27.15,57.07,IR,3/3/2019,57.2,87,0,7.31
borovskoy,53.8,64.15,KZ,3/3/2019,22,89,80,16.93
lappeenranta,61.06,28.19,FI,3/3/2019,19.4,79,90,4.7
linkuva,56.09,23.97,LT,3/3/2019,35.6,100,40,12.75
tocopilla,-22.09,-70.2,CL,3/3/2019,66.91,83,12,5.86
kafanchan,9.58,8.3,NG,3/3/2019,66.19,81,0,2.39
si sa ket,15.12,104.33,TH,3/3/2019,78.8,69,24,5.82
jupiter,26.93,-80.09,US,3/3/2019,79,73,1,4.7
kortkeros,61.81,51.56,RU,3/3/2019,-0.41,91,0,4.47
parintins,-2.63,-56.73,BR,3/3/2019,81.31,72,44,3.51
nijar,36.97,-2.21,ES,3/3/2019,53.6,100,90,2.24
gorom-gorom,14.45,-0.24,BF,3/3/2019,59.21,58,0,3.85
pembroke,45.82,-77.11,CA,3/3/2019,25,85,90,5.53
yarega,63.43,53.58,RU,3/3/2019,2.2,84,64,4.85
bainbridge,30.9,-84.58,US,3/3/2019,75.2,78,80,19.73
chiang khong,20.27,100.41,LA,3/3/2019,73,100,0,3.36
orlovskiy,46.87,42.05,RU,3/3/2019,23.66,86,0,11.01
petrov val,50.14,45.21,RU,3/3/2019,20.96,86,92,16.71
kalaleh,37.38,55.49,IR,3/3/2019,48.2,93,92,3.36
lukhovitsy,54.97,39.03,RU,3/3/2019,18,93,20,1.99
vardo,39.62,-77.74,US,3/3/2019,34,94,90,9.17
snyder,32.72,-100.92,US,3/3/2019,33.8,56,1,17.22
coos bay,43.37,-124.22,US,3/3/2019,52,66,1,18.34
fryazino,55.95,38.06,RU,3/3/2019,21.2,92,0,2.24
kingsland,30.8,-81.69,US,3/3/2019,80.6,88,40,12.35
esperance,10.24,-61.45,TT,3/3/2019,75.2,88,75,10.29
srednebelaya,50.66,128.01,RU,3/3/2019,15.8,72,20,4.63
washougal,45.58,-122.35,US,3/3/2019,43,32,1,17.22
ahero,-0.17,34.92,KE,3/3/2019,62.32,85,0,4.85
sombrio,-29.11,-49.63,BR,3/3/2019,74.51,92,88,5.64
hudson bay,52.86,-102.4,CA,3/3/2019,4.31,59,48,7.76
fecamp,49.76,0.37,FR,3/3/2019,54,81,75,20.8
balakovo,52.02,47.82,RU,3/3/2019,21.05,86,80,17.27
dire,9.18,38.92,ET,3/3/2019,60.8,77,40,9.17
pryyutivka,48.72,33.07,UA,3/3/2019,26.32,85,12,13.35
port pirie,-33.18,138.01,AU,3/3/2019,73.4,69,44,9.17
rabak,13.18,32.74,SD,3/3/2019,70.6,22,0,13.24
chitungwiza,-18.01,31.07,ZW,3/3/2019,61.96,80,0,4.74
goundam,16.42,-3.66,ML,3/3/2019,61.28,42,0,8.43
hoquiam,46.98,-123.89,US,3/3/2019,50,31,1,10.29
marquette,46.54,-87.4,US,3/3/2019,6.8,42,5,9.17
pudozh,61.81,36.54,RU,3/3/2019,8,72,76,2.95
michigan city,41.71,-86.9,US,3/3/2019,21.2,48,40,6.93
veliki preslav,43.16,26.81,BG,3/3/2019,24.61,77,0,2.62
dzerzhinsk,56.24,43.46,RU,3/3/2019,24.8,79,90,8.95
manaia,-39.55,174.12,NZ,3/3/2019,71.01,55,0,5.01
zonguldak,41.25,31.83,TR,3/3/2019,31.18,97,0,2.84
joshimath,30.57,79.57,IN,3/3/2019,6.52,96,44,0.6
mankono,8.06,-6.19,CI,3/3/2019,76.36,38,12,5.64
fort-shevchenko,44.51,50.26,KZ,3/3/2019,29.96,100,12,5.08
villa literno,41.01,14.08,IT,3/3/2019,55,87,0,2.24
olyka,50.73,25.81,UA,3/3/2019,41,78,92,1.01
dzialdowo,53.24,20.17,PL,3/3/2019,44.81,94,92,18.61
carpentras,44.06,5.05,FR,3/3/2019,50,75,0,4.7
batticaloa,7.71,81.69,LK,3/3/2019,75.95,100,8,0.94
koutsouras,35.03,25.95,GR,3/3/2019,55.99,62,0,8.01
stulovo,55.85,38.31,RU,3/3/2019,21.2,92,0,4.47
sarandi,-27.94,-52.92,BR,3/3/2019,68.98,67,0,9.78
juybar,36.64,52.91,IR,3/3/2019,48.37,98,92,5.86
svolvaer,68.23,14.57,NO,3/3/2019,19.99,73,88,7
chumphon,10.5,99.18,TH,3/3/2019,75.2,100,75,1.12
grand gaube,-20.01,57.66,MU,3/3/2019,80.6,78,40,8.05
valley,53.28,-4.56,GB,3/3/2019,42.8,81,80,23.04
wuzhou,23.48,111.3,CN,3/3/2019,61.91,95,92,3.62
concepcion del uruguay,-32.48,-58.24,AR,3/3/2019,81,68,24,5.99
venado tuerto,-33.75,-61.97,AR,3/3/2019,67.58,96,76,8.21
muzhi,65.4,64.7,RU,3/3/2019,0.04,73,76,21.74
sibolga,1.74,98.78,ID,3/3/2019,67.18,100,0,2.17
kawambwa,-9.8,29.07,ZM,3/3/2019,65.78,99,36,3.85
manitowoc,44.09,-87.66,US,3/3/2019,8.6,42,1,16.11
suoyarvi,62.08,32.35,RU,3/3/2019,11.74,73,68,3.62
przasnysz,53.02,20.88,PL,3/3/2019,46.99,93,90,13.87
san pedro de ycuamandiyu,-24.09,-57.08,PY,3/3/2019,82.7,48,0,6.08
bad wildungen,51.12,9.13,DE,3/3/2019,53.01,76,75,14.99
traipu,-9.97,-37,BR,3/3/2019,78.07,80,56,10.11
tucuman,-17.17,-70.89,PE,3/3/2019,64.12,62,0,2.51
khoy,38.55,44.95,IR,3/3/2019,24.16,80,80,2.73
griffith,-34.29,146.06,AU,3/3/2019,91,27,32,12.75
timberlake,32.26,-81.31,US,3/3/2019,71.6,88,90,10.29
pacific grove,36.62,-121.92,US,3/3/2019,59,93,90,10.29
pleszew,51.9,17.79,PL,3/3/2019,51.01,78,92,5.99
rathdrum,52.93,-6.23,IE,3/3/2019,37,100,75,14.99
malangali,-8.57,34.85,TZ,3/3/2019,61.91,94,80,2.06
berezayka,57.99,33.91,RU,3/3/2019,11.74,72,76,2.39
gizo,31.8,34.94,IL,3/3/2019,53.6,62,75,8.05
tamworth,-31.09,150.93,AU,3/3/2019,78.01,44,0,2.24
kilosa,-6.84,36.99,TZ,3/3/2019,67.72,94,36,2.39
yilan,24.75,121.75,TW,3/3/2019,68,93,75,3.36
tolosa,43.14,-2.07,ES,3/3/2019,71.6,18,0,20.8
maceio,-9.67,-35.74,BR,3/3/2019,78.8,78,40,6.93
port shepstone,-30.74,30.45,ZA,3/3/2019,73.12,89,32,17.38
jaleswar,21.8,87.22,IN,3/3/2019,65.78,100,12,1.39
voghera,44.99,9.01,IT,3/3/2019,55.4,66,0,6.93
burla,53.34,78.33,RU,3/3/2019,28.16,86,12,15.59
gori,41.99,44.11,GE,3/3/2019,12.73,80,0,1.72
agirish,61.92,63.02,RU,3/3/2019,9.49,73,80,7.65
beya,53.05,90.92,RU,3/3/2019,23.98,87,88,1.72
maturin,9.75,-63.18,VE,3/3/2019,81.58,55,80,9.44
lydenburg,-25.1,30.46,ZA,3/3/2019,73,95,92,2.17
puteyets,65.17,57.09,RU,3/3/2019,-4.29,77,20,7.43
colborne,44.01,-77.89,CA,3/3/2019,27,73,90,12.75
kardla,58.44,26.57,EE,3/3/2019,28,100,90,11.41
blagoevgrad,42.01,23.09,BG,3/3/2019,24.01,77,0,1.01
barcelos,41.53,-8.62,PT,3/3/2019,57.2,100,75,5.82
illela,12.39,4.75,NG,3/3/2019,74.47,33,36,4.18
labytnangi,66.66,66.39,RU,3/3/2019,1.84,77,68,24.65
jinka,5.79,36.57,ET,3/3/2019,63.53,72,8,1.61
guiyang,26.58,106.71,CN,3/3/2019,55.4,82,90,6.71
guilin,25.28,110.29,CN,3/3/2019,48.2,87,90,4.47
smirnykh,49.74,142.83,RU,3/3/2019,12.64,70,20,3.74
rio tercero,-32.17,-64.11,AR,3/3/2019,72.85,84,44,6.64
kasungu,-13.04,33.48,MW,3/3/2019,59.98,93,32,1.83
esil,51.96,66.41,KZ,3/3/2019,21.91,81,48,16.26
kariya,34.97,137,JP,3/3/2019,51.01,93,75,5.82
carambei,-24.92,-50.1,BR,3/3/2019,71.45,73,24,7.65
spanish town,18,-76.95,JM,3/3/2019,80.6,54,75,16.11
plerin,48.54,-2.78,FR,3/3/2019,51.8,81,36,25.28
guanhaes,-18.77,-42.93,BR,3/3/2019,70.91,73,64,4.07
bedford,52.14,-0.47,GB,3/3/2019,48.99,75,90,18.34
la ciotat,43.17,5.6,FR,3/3/2019,53.01,70,0,8.05
black river,18.03,-77.85,JM,3/3/2019,77,83,75,5.82
ust-barguzin,53.41,109.03,RU,3/3/2019,20.51,86,88,2.51
ocean city,30.44,-86.61,US,3/3/2019,66.99,93,90,5.82
uvalde,29.21,-99.79,US,3/3/2019,53.6,70,90,12.75
yuzhno-kurilsk,44.03,145.86,RU,3/3/2019,30.41,99,44,11.79
qaanaaq,77.48,-69.36,GL,3/3/2019,-6.67,85,0,10.45
san mateo del mar,16.21,-94.98,MX,3/3/2019,84.19,82,0,11.01
yenagoa,4.92,6.26,NG,3/3/2019,77.48,89,68,6.76
mangaratiba,-22.96,-44.04,BR,3/3/2019,77,94,90,10.29
kuching,1.56,110.34,MY,3/3/2019,77,94,75,1.5
hong gai,20.96,107.09,VN,3/3/2019,73.4,78,75,4.7
staden,50.97,3.01,BE,3/3/2019,54,76,92,23.04
